"Samsung Galaxy Tab A 8.0"" 32 GB WiFi Android 9.0 Pie Tablet Black (2019) - SM-T290NZKAXAR",3.5,https://m.media-amazon.com/images/I/41UPtXbP4LL._AC_UY218_ML3_.jpg
CYBERPOWERPC Gamer Supreme Liquid Cool Gaming PC Desktop - Intel Core i7-9700K 3.6GHz - NVIDIA RTX 2070 Super 8GB Graphics - 16GB DDR4 - 1TB PCI-E NVMe SSD - WiFi Ready & Win 10 Home (SLC8260A2 - Black),4.4,https://m.media-amazon.com/images/I/81kVandDmdL._AC_UY218_ML3_.jpg
"Samsung Electronics XE500C13 Chromebook 3 2GB RAM 16GB SSD Laptop - 11.6""",4.1,https://m.media-amazon.com/images/I/71OQVVl+MOL._AC_UY218_ML3_.jpg
Samsung Chromebook 3 - 11.6in - 4GB RAM - 16GB eMMC - Chromebook (XE500C13-K04US) (Renewed),4.1,https://m.media-amazon.com/images/I/71bfpLByqnL._AC_UY218_ML3_.jpg
Acer Aspire TC-885-ACCFLi3O Desktop - 8th Gen Intel Core i3-8100 - 8GB DDR4 + 16GB Optane Memory - 1TB HDD - 8X DVD - 802.11ac WiFi - Windows 10 Home,4.4,https://m.media-amazon.com/images/I/61UgXsi+mcL._AC_UY218_ML3_.jpg
"Acer Flagship CB3-532 15.6"" HD Premium Chromebook - Intel Dual-Core Celeron N3060 up to 2.48GH.z - 2GB RAM - 16GB SSD - Wireless AC - HDMI - USB 3.0 - Webcam - Chrome OS (Renewed)",4.1,https://m.media-amazon.com/images/I/51840t+tcFL._AC_UY218_ML3_.jpg
"Lenovo 130S-11IGM 11.6"" HD Laptop - Intel Celeron N4000 - 4GB RAM - 64GB eMMC - 1-Year Office 365 - Windows 10 in S Model - Gray",4.0,https://m.media-amazon.com/images/I/61cqXFT53AL._AC_UY218_ML3_.jpg
Dell OP3060MFFXKF5K OptiPlex 3060 XKF5K Micro PC with Intel Core i5-8500T 2.1 GHz Hexa-core - 8GB RAM - 256GB SSD - Windows 10 Pro 64-bit,4.7,https://m.media-amazon.com/images/I/61cbZP4oO8L._AC_UY218_ML3_.jpg
Dell Inspiron Gaming PC Desktop AMD Ryzen 7 2700 Processor - 16GB DRAM - 1TB HDD - AMD Radeon RX 580 4GB GDDR5 Graphics Card - Windows 10 64-bit - Blue LED - Model Number: i5676-A696Blu,3.9,https://m.media-amazon.com/images/I/617LZ7j3uCL._AC_UY218_ML3_.jpg
"Asus Chromebook Flip C434 2 in 1 Laptop - 14"" Touchscreen FHD 4-Way NanoEdge - Intel Core M3-8100Y Processor - 4GB RAM - 64GB eMMC Storage - All-Metal Body - Backlit KB - Silver - Chrome OS - C434TA-DSM4T",3.9,https://m.media-amazon.com/images/I/81jMDZtV7PL._AC_UY218_ML3_.jpg
"Acer Aspire Z24-890-UA91 AIO Desktop - 23.8"" Full HD - 9th Gen Intel Core i5-9400T - 12GB DDR4 - 512GB SSD - 802.11ac WiFi - USB 3.1 Type C - Wireless Keyboard and Mouse - Windows 10 Home - Silver",4.3,https://m.media-amazon.com/images/I/81ODwqmdl6L._AC_UY218_ML3_.jpg
"Acer Aspire 5 Slim Laptop - 15.6"" Full HD IPS Display - 8th Gen Intel Core i3-8145U - 4GB DDR4 - 128GB PCIe Nvme SSD - Backlit Keyboard - Windows 10 in S Mode - A515-54-30BQ",4.3,https://m.media-amazon.com/images/I/71NGpuvDJgL._AC_UY218_ML3_.jpg
Lenovo Ideapad L340 Gaming Laptop - 15.6 Inch FHD (1920 X 1080) IPS Display - Intel Core i5-9300H Processor - 8GB DDR4 RAM - 512GB Nvme SSD - NVIDIA GeForce GTX 1650 - Windows 10 - 81LK00HDUS - Black,3.8,https://m.media-amazon.com/images/I/81XvT+ahkoL._AC_UY218_ML3_.jpg
ASUS ZenBook 13 Ultra-Slim Durable Laptop 13.3” FHD Wideview - Intel Core i7-8565U Up to 4.6GHz - 16GB RAM - 512GB PCIe SSD + TPM Security Chip - Numberpad - Windows 10 Pro - UX333FA-AB77 - Royal Blue,3.4,https://m.media-amazon.com/images/I/81A9ZobNH+L._AC_UY218_ML3_.jpg
"Lenovo Thinkpad E590 15.6"" HD Business Laptop (Intel Quad Core i5-8265U - 16GB DDR4 Memory - 512GB PCIe 3.0(x4) NVMe SSD M.2 SSD) Type-C - HDMI - Ethernet - Webcam - Windows 10 Professional",4.7,https://m.media-amazon.com/images/I/61UFDIoMZjL._AC_UY218_ML3_.jpg
